movie_title,release_date,genre,mpaa_rating,total_gross,Pricce
Flightplan,23-09-2005,Thriller/Suspense,PG-13,89706988,
The Greatest Game Ever Played,30-09-2005,Drama,PG,15331289,
Shopgirl,21-10-2005,Drama,R,10284523,
Chicken Little,04-11-2005,Adventure,G,135386665,
"The Chronicles of Narnia: The Lion, t…",09-12-2005,Adventure,PG,291710957,
Casanova,25-12-2005,Drama,R,11304403,
Glory Road,13-01-2006,Drama,PG,42647449,
Annapolis,27-01-2006,Drama,PG-13,17127992,
Roving Mars,27-01-2006,Documentary,G,10407978,
Eight Below,17-02-2006,Adventure,PG,81612565,
The Shaggy Dog,10-03-2006,Comedy,PG,61123569,
Stay Alive,24-03-2006,Horror,PG-13,23086480,
The Wild,14-04-2006,Adventure,G,37384046,
Stick It,28-04-2006,Comedy,PG-13,26910736,
Goal! The Dream Begins,12-05-2006,Drama,PG,4283255,
Cars,09-06-2006,Comedy,G,244082982,
Pirates of the Caribbean: Dead Man’…,07-07-2006,Adventure,PG-13,423315812,
Step Up,11-08-2006,Drama,PG-13,65328121,
Invincible,25-08-2006,Drama,PG,57806952,
The Guardian,29-09-2006,Action,PG-13,55011732,
The Prestige,20-10-2006,Thriller/Suspense,PG-13,53089891,
Tim Burton's The Nightmare Before Chr…,20-10-2006,Musical,PG,24732041,
The Santa Clause 3: The Escape Clause,03-11-2006,Comedy,G,84500122,
Déjà Vu,22-11-2006,Thriller/Suspense,PG-13,64038616,
Apocalypto,08-12-2006,Adventure,R,50866635,
Primeval,12-01-2007,Adventure,R,10597734,
Bridge to Terabithia,16-02-2007,Drama,PG,82234139,
Wild Hogs,02-03-2007,Comedy,PG-13,168213584,
Meet the Robinsons,30-03-2007,Adventure,G,97822171,
The Lookout,30-03-2007,Drama,R,4600585,
The Hoax,06-04-2007,Drama,R,7164995,
The Invisible,27-04-2007,Thriller/Suspense,PG-13,20568319,
Pirates of the Caribbean: At World’…,24-05-2007,Adventure,PG-13,309420425,
Ratatouille,29-06-2007,Comedy,G,206445654,
Underdog,03-08-2007,Adventure,PG,43760605,
The Game Plan,22-09-2007,Comedy,PG,90648202,
Dan in Real Life,20-10-2007,Romantic Comedy,PG-13,47642963,
Enchanted,21-11-2007,Romantic Comedy,PG,127706877,
National Treasure 2: Book of Secrets,21-12-2007,Adventure,PG,219961501,
Hannah Montana/Miley Cyrus: Best of B…,01-02-2008,Concert/Performance,G,65281781,
Step Up 2 the Streets,14-02-2008,Drama,PG-13,58017783,
College Road Trip,07-03-2008,Comedy,G,45610425,
The Chronicles of Narnia: Prince Caspian,16-05-2008,Adventure,PG,141621490,
WALL-E,27-06-2008,Adventure,G,223808164,
Swing Vote,01-08-2008,Comedy,PG-13,16289867,
Goal! 2: Living the Dream...,29-08-2008,Drama,PG-13,225067,
Miracle at St. Anna,26-09-2008,Drama,R,7916887,
Beverly Hills Chihuahua,03-10-2008,Comedy,PG,94514402,
Morning Light,17-10-2008,Documentary,PG,275093,
High School Musical 3: Senior Year,24-10-2008,Musical,G,90559416,
Bolt,21-11-2008,Comedy,PG,114053759,
Bedtime Stories,25-12-2008,Comedy,PG,110101975,
Confessions of a Shopaholic,13-02-2009,Romantic Comedy,PG,44277350,
